ELENCO CORPI ILLUMINANTI DI EMERGENZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codice 
Scheda:;;;EM;;;.;06;;Oggetto scheda:;;EM;;;;Elenco Apparecchi illuminazione emergenza;;;;;;;;;;;Periodicitˆ:;;;06;;MESI;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azienda
Appalt.;;;Desiderio Impianti S.r.l.;;;;;;;Sito;0;;;;;;Cliente:;;0;;;;;;;Data inizio periodo
attivitˆ;;;;;;;;
Premessa e/o informazioni:      NORME CEI 78-17:2015, CEI 0-10:2012, CEI EN 50110:2014, CEI 11-27:2014, CEI 64-8:2012, CEI 64-14:2007;;;;;;;;;;;;;;;;;;;;;;;;;;Data precedente;;;;;;;;
Autonomia di progetto =1 ora.    Prima di effettuare qualsiasi tipo di prova sugli apparecchi di illuminazione e segnalazione di sicurezza occorre verificare con i referenti del sito l'effettiva possibilitˆ di svolgere le prove.;;;;;;;;;;;;;;;;;;;;;;;;;;attivitˆ V&M;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Data attuale
attivitˆ V&M;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Verificatore/
Manutentore;;;;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Firma;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr. Lampada;;;;;Marca;;;Modello;;;Codice;;;;;Tipo batteria;;;;Zona Fisica;;;Note a seguito di verifica;;;;;;;;;;;
LAMPADE EMERGENZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEGENDA LAMPADE EMERGENZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;MONTAGGIO SU PARETE 
ALTEZZA H=3m;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;MONTAGGIO SU PARETE 
ALTEZZA H>3m (NECESSARIA PIATTAFORMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;MONTAGGIO SU BLINDO LUCE
ALTEZZA H>3m;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAMPADE EMERGENZA LINEA EM-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEGENDA LAMPADE EMERGENZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;MONTAGGIO SU PARETE 
ALTEZZA H=3m;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;MONTAGGIO SU PARETE 
ALTEZZA H>3m (NECESSARIA PIATTAFORMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;MONTAGGIO SU BLINDO LUCE
ALTEZZA H>3m;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAMPADE EMERGENZA LINEA EM-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
