;;;;;;;;;;;;;;;;;;;;;;;;;P;PI;NA;NP;VN;B;;;;;;;;;;
RIV;.;L1;.1;TERMO;TERMO;TERMO;;;;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.2;FUMO;FUMO;FUMO;;;;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.3;FUMO;FUMO;FUMO;;;;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.4;FUMO;FUMO;FUMO;CONTROSOFFITTO;CONTROSOFFITTO;CONTROSOFFITTO;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.5;FUMO;FUMO;FUMO;;;;DEPOSITO SPORCO;DEPOSITO SPORCO;DEPOSITO SPORCO;DEPOSITO SPORCO;DEPOSITO SPORCO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.6;FUMO;FUMO;FUMO;CONTROSOFFITTO;CONTROSOFFITTO;CONTROSOFFITTO;DPOSITO SPORCO;DPOSITO SPORCO;DPOSITO SPORCO;DPOSITO SPORCO;DPOSITO SPORCO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.7;FUMO;FUMO;FUMO;;;;SENSORE 1 CORRIDOIO;SENSORE 1 CORRIDOIO;SENSORE 1 CORRIDOIO;SENSORE 1 CORRIDOIO;SENSORE 1 CORRIDOIO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.8;FUMO;FUMO;FUMO;;;;SENSORE 2 CORRIDOIO;SENSORE 2 CORRIDOIO;SENSORE 2 CORRIDOIO;SENSORE 2 CORRIDOIO;SENSORE 2 CORRIDOIO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.9;FUMO;FUMO;FUMO;;;;BOX 2;BOX 2;BOX 2;BOX 2;BOX 2;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.24;FUMO;FUMO;FUMO;;;;CAMERA ANALISI 3 MANDATA CONDOTTA ARIA;CAMERA ANALISI 3 MANDATA CONDOTTA ARIA;CAMERA ANALISI 3 MANDATA CONDOTTA ARIA;CAMERA ANALISI 3 MANDATA CONDOTTA ARIA;CAMERA ANALISI 3 MANDATA CONDOTTA ARIA;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.25;FUMO;FUMO;FUMO;;;;CAMERA ANALISI 4 RIPRESA CONDOTTA ARIA;CAMERA ANALISI 4 RIPRESA CONDOTTA ARIA;CAMERA ANALISI 4 RIPRESA CONDOTTA ARIA;CAMERA ANALISI 4 RIPRESA CONDOTTA ARIA;CAMERA ANALISI 4 RIPRESA CONDOTTA ARIA;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.26;FUMO;FUMO;FUMO;;;;CAMERA ANALISI 5 MANDATA CONDOTTA ARIA;CAMERA ANALISI 5 MANDATA CONDOTTA ARIA;CAMERA ANALISI 5 MANDATA CONDOTTA ARIA;CAMERA ANALISI 5 MANDATA CONDOTTA ARIA;CAMERA ANALISI 5 MANDATA CONDOTTA ARIA;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.27;BARR.;BARR.;BARR.;;;;BARRIERA RECEPTION;BARRIERA RECEPTION;BARRIERA RECEPTION;BARRIERA RECEPTION;BARRIERA RECEPTION;PT;PT;PT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.28;FUMO;FUMO;FUMO;;;;SENSORE SCALE;SENSORE SCALE;SENSORE SCALE;SENSORE SCALE;SENSORE SCALE;PT;PT;PT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
